id,label,x,y,,,,,,,
50361,Siscia,45.483,16.371,,,,,,,
50362,Sitifis,36.237,5.41,,,,,,,
50363,Smyrna,38.25,27.25,,,,,,,
50364,Soura,35.864,38.914,,,,,,,
50365,Spinis,51.412,-1.344,,,,,,,
50366,Spoletium,42.745,12.738,,,,,,,
50367,Stobi,41.531,21.978,,,,,,,
50368,Sufasar,36.192,2.515,,,,,,,
50369,Sufetula,35.239,9.121,,,,,,,
50370,Summuntorium,48.646,10.826,,,,,,,
50371,Summus Pyreneus (West),43.02,-1.324,,,,,,,
50372,Summus Pyreneus (East),42.758,-0.828,,,,,,,
50373,Syene,24.096,32.905,,,,,,,
50374,Tacape,33.883,10.099,,,,,,,
50375,Taliata,44.444,22.144,,,,,,,
50376,Tabia,39.889,34.448,,,,,,,
50377,Tarentum,40.469,17.24,,,,,,,
50378,Tarracina,41.291,13.249,,,,,,,
50379,Tarraco,41.12,1.251,,,,,,,
50380,Tarsus,36.916,34.901,,,,,,,
50381,Teanum,41.255,14.056,,,,,,,
50382,Terenouthis,30.432,30.816,,,,,,,
50383,Tergeste,45.649,13.772,,,,,,,
50384,Thagaste,36.284,7.955,,,,,,,
50385,Thamugadi,35.485,6.468,,,,,,,
50386,Thebae,38.322,23.319,,,,,,,
50387,Thelepte,34.979,8.595,,,,,,,
50388,Thelseai,33.648,36.665,,,,,,,
50389,Thessalonica,40.626,22.956,,,,,,,
50390,Theveste,35.407,8.121,,,,,,,
50391,Thuburnica,36.529,8.455,,,,,,,
50392,Tibiscum,45.459,22.186,,,,,,,
50393,Tibur,41.964,12.798,,,,,,,
50394,Tubusuctu,36.669,4.828,,,,,,,
50395,Ticinum,45.186,9.157,,,,,,,
50396,Tingi,35.788,-5.81,,,,,,,
50398,Tolosa,43.604,1.443,,,,,,,
50399,Tomis,44.173,28.638,,,,,,,
50400,Tralles,37.853,27.844,,,,,,,
50401,Trapezus,41.003,39.718,,,,,,,
50402,Tridentum,46.067,11.119,,,,,,,
50403,Troesmis,45.164,28.189,,,,,,,
50404,Tyana,37.894,34.56,,,,,,,
50405,Tyrus,33.272,35.198,,,,,,,
50406,Valentia,44.93,4.89,,,,,,,
50407,Vappincum,44.56,6.076,,,,,,,
50408,Veldidena,47.254,11.4,,,,,,,
50409,Venonis,52.494,-1.301,,,,,,,
50410,Venusia,40.963,15.815,,,,,,,
50411,Venta Icenorum,52.578,1.288,,,,,,,
50412,Venta,51.063,-1.317,,,,,,,
50413,Vercellae,45.321,8.426,,,,,,,
50414,Verona,45.439,10.994,,,,,,,
50415,Verulamium,51.746,-0.355,,,,,,,
50416,Vesontio,47.241,6.025,,,,,,,
50417,Vibo Valentia,38.676,16.098,,,,,,,
50418,Vienna,45.525,4.879,,,,,,,
50419,Viminacium,44.716,21.167,,,,,,,
50420,Vindobona,48.211,16.374,,,,,,,
50421,Viroconium,52.67,-2.647,,,,,,,
50422,Virovesca,42.55,-3.323,,,,,,,
50423,Virunum,46.703,14.36,,,,,,,
50424,Vivisco,46.459,6.847,,,,,,,
50425,Volsinii,42.645,11.986,,,,,,,
50426,Volubilis,34.084,-5.506,,,,,,,
50427,Zarai,35.786,5.695,,,,,,,
50428,Zeugma,37.058,37.87,,,,,,,
50429,Lugdunum,45.759,4.819,,,,,,,
50430,Heraclea Pontica,41.283,31.419,,,,,,,
50431,Laodicea ad Lycum,37.855,29.136,,,,,,,
50432,Boubastis,30.572382,31.51108,,,,,,,
50434,Vorgium,48.276,-3.571,,,,,,,
50435,Aginnum,44.205,0.62,,,,,,,
50436,Cibyra,37.159,29.492,,,,,,,
50437,Perge,36.96,30.853,,,,,,,
50438,Phaselis,36.5228,30.549049,,,,,,,
50439,Myra,36.25629,29.98736,,,,,,,
50440,Patara,36.25,29.25,,,,,,,
50441,Xanthos,36.21,29.19,,,,,,,
50442,Amaseia,40.66680835,35.82794385,,,,,,,
50443,Phiara,39.864,36.594,,,,,,,
50444,Augustonemetum,45.778,3.085,,,,,,,
50445,Augustoritum,45.828,1.264,,,,,,,
50446,Amastris,41.746969,32.385648,,,,,,,
50447,Attalea,36.8903095,30.699968,,,,,,,
50448,Ebusus,38.908393,1.432146,,,,,,,
50449,Thabraca,36.9567785,8.7497465,,,,,,,
50450,Dianium,38.842795,0.107511,,,,,,,
50451,Olbia,36.87288,30.6085,,,,,,,
50452,Paphos,34.705,32.579,,,,,,,
50453,Salamis,37.948,23.53,,,,,,,
50454,Seleukeia Pieria,36.121,35.928,,,,,,,
50455,Syracusae,37.071,15.279,,,,,,,
50456,Portus Pachyni,36.683441,15.135478,,,,,,,
50457,Kriou Metopon,44.387222,33.738056,,,,,,,
50458,Amisus,41.292721,36.3313,,,,,,,
50459,Divodurum,49.118,6.174,,,,,,,
50460,Condate,53.259,-2.517,,,,,,,
50461,Rotomagus,49.44,1.096,,,,,,,
50462,Iuliobona,49.5196055,0.53567465,,,,,,,
50463,Iuliobriga,42.9851,-4.1139,,,,,,,
50464,Portus Blendium,43.4265175,-4.4109,,,,,,,
50465,Dessobriga,42.40203,-4.28805,,,,,,,
50466,Lamia,38.902,22.442,,,,,,,
50467,Naupactus,38.3997,21.8312,,,,,,,
50468,Confluentes,50.356,7.599,,,,,,,
